5 8 11,"a__ NOUN

A person who helps another commit a crime.
‘an ___ in the murder’
‘The car-jacker fled in the Honda Civic while an ___ followed in the other car in the direction of Sutton.’",3/19/2019,accomplice,,,
0,"e__ VERB

[NO OBJECT]
Run away secretly in order to get married.
‘later he __d with one of the housemaids’
‘I'm beginning to understand some of what my mother must have gone through after I __d with Rolf.’",3/22/2019,elope,,,
3 8,"NOUN

1A moving mechanical device made in imitation of a human being.
‘a collection of 19th century French _＊_: acrobats, clowns, and musicians’
1.1 A machine which performs a range of functions according to a predetermined set of coded instructions.
‘sophisticated __s continue to run factory assembly lines’",3/16/2019,automaton,＊ automata,/ɔːˈtɒmət(ə)n/,
,"NOUN

mass noun
The production of a partial vacuum by the removal of air in order to force fluid into a vacant space or procure adhesion.
‘constant ___ was applied to both tubes’
as modifier ‘a rubber ___ pad’
‘a ___ pipe’",3/24/2019,suction,,,
,"VERB

[WITH OBJECT]
Make known (private or sensitive information)
‘I do not want to ___ my plans at the moment’",3/24/2019,divulge,,,
,"ADJECTIVE

1attributive Having a particular habit, activity, or interest that is long-established and unlikely to change.
‘an ___ gambler’
1.1 (of a feeling or habit) long-established and unlikely to change.
‘his ___ hostility to what he considered to be the ‘reactionary’ powers’",3/25/2019,inveterate,,,
,"NOUN

1mass noun Edible starch which is obtained from a palm and is a staple food in parts of the tropics. The pith inside the trunk is scraped out, washed, and dried to produce a flour or processed to produce the granular ___ used in the West.
1.1 A sweet dish made from ___ and milk.
2The palm from which most ___ is obtained, growing in freshwater swamps in SE Asia.",3/26/2019,sago,,,
10 11,"ADJECTIVE

Opposing political or social progress or reform.
‘___ attitudes toward women's rights’
‘We have a ___ police force and they respond to the complaints of residents.’",3/28/2019,reactionary,,,
11,"r__ ADJECTIVE

1Without regret or guilt.
‘a ___ killer’
2(of something unpleasant) never ending or improving; relentless.
‘___ poverty’",3/29/2019,remorseless,,,
,"b__ NOUN

mass noun
The playful and friendly exchange of teasing remarks.
‘there was much good-natured ___’
‘He was a very cheerful character and liked nothing more than to have a bit of ___ with his friends.’",3/30/2019,banter,,,
,"c__ ADJECTIVE

Of or denoting the main style of classical music in southern India, as distinct from the Hindustani music of the north.
‘___ music’
‘An Indonesian dancer created his own movements to a song in ___ music.’",3/31/2019,Carnatic,,,"Origin
Anglicization of Karnataka in SW India."
,"ADJECTIVE

1Active and energetic.
‘a good ___ walk’
‘business appeared to be ___’
1.1 Showing a wish to deal with things quickly; slightly brusque.
‘she adopted a ___, businesslike tone’
1.2 (of wind or the weather) cold but pleasantly invigorating.
‘the sea was shimmering and heaving beneath the ___ breeze’

VERB

[WITH OBJECT]
___ something up
Quicken something.
‘Mary __d up her pace",4/3/2019,brisk,,,
,"d__ NOUN

1A place for the storage of large quantities of equipment, food, or goods.
‘an arms ___’
2A place where buses, trains, or other vehicles are housed and maintained and from which they are dispatched for service.
2.1North American A railway or bus station.
3Military 
A place where recruits are trained or other troops are assembled.
‘only conscripts who lived near a training ___ had permission to commute to it’",4/4/2019,depot,,/ˈdɛpəʊ/,
9,"PLURAL NOUN

1the _caps_ Australia and New Zealand (used by inhabitants of the northern hemisphere)
‘there were plants from the ___, including eucalyptuses and acacias’
2The direct opposite of something.
‘voting and violence are ___’",4/6/2019,antipodes,,/anˈtɪpədiːz/,
8,"f__ NOUN

A small fleet of ships or boats.
‘a ___ of cargo boats’
‘Hmas Wewak was greeted on entry by __s of dug-out canoes skilfully paddled by locals whose ages ranged from six to 60.’",4/1/2019,flotilla,,,
,"m__ NOUN

Broken stone of even size used in successively compacted layers for surfacing roads and paths, and typically bound with tar or bitumen.
‘How good a road is going to be depends on how the design is laid out initially vis-a-vis the layer of bitumen, ___, coat of slurry seal or fog seal.’",4/5/2019,macadam,,,
5,"VERB

[NO OBJECT]
___ to
humorous, formal 
Go to (a place), especially in company.
‘we __d to the tranquillity of a nearby cafe’

NOUN

mass noun
archaic 
1Frequent or habitual visiting of a place.
‘she exhorted ___ to the church’",4/2/2019,repair,,,
0,"NOUN

1A level space in a garden occupied by an ornamental arrangement of flower beds.
‘he was planting bulbs in the ___ for a spring display’
2North American The part of the ground floor of a theatre auditorium behind the orchestra pit, especially the part beneath the balconies.",4/7/2019,parterre,,/pɑːˈtɛː/,
0,"NOUN

mass noun
1A black viscous mixture of hydrocarbons obtained naturally or as a residue from petroleum distillation. It is used for road surfacing and roofing.
1.1Australian informal A tarred road surface.
‘a kilometre and a half of ___’",4/8/2019,bitumen,,/ˈbɪtjʊmən/,
,"PREPOSITION

1In relation to; with regard to.
‘many agencies now have a unit to deal with women's needs ___ employment’
1.1 As compared with; as opposed to.
‘the advantage for US exports is the value of the dollar ___ other currencies’",4/9/2019,vis-à-vis,,,
